timestr,time,open,close,low,high,volumefrom,volumeto
2022-06-09 00:00:00,1654732800,28178.05,28366.35,27913.93,28615.24,4745.82,134151307.65
2022-06-08 00:00:00,1654646400,29075.01,28178.05,27929.3,29240.2,6303.32,179144859.98
2022-06-07 00:00:00,1654560000,29333.24,29075.01,27384.57,29459.88,9343.23,263666644.86
2022-06-06 00:00:00,1654473600,27891.8,29333.24,27868.15,29656,6760.61,197295595.73
2022-06-05 00:00:00,1654387200,27867.6,27891.8,27564.67,28178.75,2298.23,64064507.47
2022-06-04 00:00:00,1654300800,27716.5,27867.6,27518.55,27967.03,2795.92,77540717.63
2022-06-03 00:00:00,1654214400,28325.91,27716.5,27318.79,28517.76,5729.84,159438715.88
2022-06-02 00:00:00,1654128000,27968.88,28325.91,27654.16,28532.92,5720.22,160545852.1
2022-06-01 00:00:00,1654041600,29608.61,27968.88,27537.62,29779.22,8422.85,243163254.12
2022-05-31 00:00:00,1653955200,29446.36,29608.61,29175.39,30132.9,7254.46,214449016.43
2022-05-30 00:00:00,1653868800,27453.88,29446.36,27298.85,29840.55,9906.68,282676743.35
2022-05-29 00:00:00,1653782400,27046.55,27453.88,26873.95,27543.48,2440.72,66455059.16
2022-05-28 00:00:00,1653696000,26643.37,27046.55,26572.49,27239.73,2217.27,59698704.11
2022-05-27 00:00:00,1653609600,27209.93,26643.37,26362.52,27353.87,6954.88,187160256.81
2022-05-26 00:00:00,1653523200,27626.01,27209.93,26217.31,27909,7873.77,214391174.34
2022-05-25 00:00:00,1653436800,27613.78,27626.01,27515.69,28170.03,5252.01,146146192.34
2022-05-24 00:00:00,1653350400,27229.61,27613.78,26719.03,27759.7,6117.67,166918081.01
2022-05-23 00:00:00,1653264000,28640.11,27229.61,27031.21,28893.39,7708.1,216838946.05
2022-05-22 00:00:00,1653177600,27851.51,28640.11,27684.65,28804.12,3818.67,108244887.27
2022-05-21 00:00:00,1653091200,27643.62,27851.51,27417.13,28048.24,2163.38,60121301.94
2022-05-20 00:00:00,1653004800,28639.52,27643.62,27222.24,29034.91,6428.65,180839200.14
2022-05-19 00:00:00,1652918400,27393.79,28639.52,27341.35,28803.16,7516.78,211017451.25
2022-05-18 00:00:00,1652832000,28849.43,27393.79,27338.32,29046.45,7032.83,197087538.34
2022-05-17 00:00:00,1652745600,28593.14,28849.43,27988.56,29307.17,6977.05,200817862.14
2022-05-16 00:00:00,1652659200,30098.94,28593.14,27934.05,30102.56,8163.3,233967714.98
2022-05-15 00:00:00,1652572800,28905,30098.94,28335.7,30183.78,4245.9,123681806.8
2022-05-14 00:00:00,1652486400,28120.63,28905,27508.82,29099.98,4884.77,137774634.77
2022-05-13 00:00:00,1652400000,27874.74,28120.63,27649.25,29815.11,10920.5,317689615.28
2022-05-12 00:00:00,1652313600,27550.35,27874.74,23981.08,28694.68,25986.57,690535167
2022-05-11 00:00:00,1652227200,29457.78,27550.35,26427.58,30415.69,20470.16,587760259.53
2022-05-10 00:00:00,1652140800,28474.7,29457.78,28212.81,30901.63,15979.78,475555216.75
2022-05-09 00:00:00,1652054400,32339.57,28474.7,28460.14,32527.99,19189.02,584420886.28
2022-05-08 00:00:00,1651968000,33660.47,32339.57,32013.51,33688.65,6173.01,201823384.4
2022-05-07 00:00:00,1651881600,34167.78,33660.47,33061.72,34286.77,3087.55,104495018.15
2022-05-06 00:00:00,1651795200,34697.08,34167.78,33393.45,34790.44,8768.47,299760112.8
2022-05-05 00:00:00,1651708800,37372.4,34697.08,33891.26,37526.01,9616.96,342318224.14
2022-05-04 00:00:00,1651622400,35877.21,37372.4,35809.58,37692.59,7854.8,290505990.36
2022-05-03 00:00:00,1651536000,36655.72,35877.21,35681.65,36771.92,5227.05,189879336.29
2022-05-02 00:00:00,1651449600,36501.05,36655.72,36280.28,37240.41,5538.33,203771357.81
2022-05-01 00:00:00,1651363200,35762.59,36501.05,35562.31,36690.62,3175.66,114835724.41
2022-04-30 00:00:00,1651276800,36617.17,35762.59,35731.51,36798.84,2847.52,103662889.24
2022-04-29 00:00:00,1651190400,37849.28,36617.17,36208.23,37915.1,6853.71,253444260.76
2022-04-28 00:00:00,1651104000,37171.93,37849.28,37013.44,38434.62,7687.99,289762246.79
2022-04-27 00:00:00,1651017600,35845.4,37171.93,35636.92,37400.95,8139.22,298937511.65
2022-04-26 00:00:00,1650931200,37746.68,35845.4,35466.89,38173.26,8311.54,305798434.36
2022-04-25 00:00:00,1650844800,36528.79,37746.68,35608.53,37870.46,8529.22,310808191.46
2022-04-24 00:00:00,1650758400,36584.45,36528.79,36186.58,37032.21,3434.43,125851872.24
2022-04-23 00:00:00,1650672000,36821.84,36584.45,36437.61,37076.44,1962.28,72200194.47
2022-04-22 00:00:00,1650585600,37393.32,36821.84,36352.52,37754.61,5761.04,213987522.99
2022-04-21 00:00:00,1650499200,38146.81,37393.32,36784.52,39461.87,6586.42,253128362.97
2022-04-20 00:00:00,1650412800,38475.11,38146.81,37754.87,38984.33,5722.88,219418519.64
2022-04-19 00:00:00,1650326400,37899.14,38475.11,37606.96,38728.01,4530.19,172708486.21
2022-04-18 00:00:00,1650240000,36732.56,37899.14,35780.04,38168.83,5967.02,218820291.31
2022-04-17 00:00:00,1650153600,37409.77,36732.56,36617.89,37601.64,2094.23,78035021.92
2022-04-16 00:00:00,1650067200,37567.47,37409.77,37064.03,37684.63,1704.46,63740396.26
2022-04-15 00:00:00,1649980800,36929.95,37567.47,36814.73,37786.36,3195.77,119050997.65
2022-04-14 00:00:00,1649894400,37779.36,36929.95,36579.45,38162.57,5474.72,205231476.1
2022-04-13 00:00:00,1649808000,37040.35,37779.36,36596.43,38182.45,5126.08,191475005.57
2022-04-12 00:00:00,1649721600,36336.77,37040.35,36174.85,37415.22,6618.28,244283219.83
2022-04-11 00:00:00,1649635200,38742.2,36336.77,36046.25,38951.82,6995.22,263148580.93
2022-04-10 00:00:00,1649548800,39365.17,38742.2,38496.16,39845.73,2936.59,115549062.44
2022-04-09 00:00:00,1649462400,38895.34,39365.17,38778.25,39393.32,1504.54,58779340.63
2022-04-08 00:00:00,1649376000,39997.41,38895.34,38769.68,40448.73,4935.73,196398780.88
2022-04-07 00:00:00,1649289600,39635.17,39997.41,39255.82,40254.54,5301.37,211402552.39
2022-04-06 00:00:00,1649203200,41730.79,39635.17,39598.41,41832.5,7695.04,313810115.74
2022-04-05 00:00:00,1649116800,42467.64,41730.79,41630.8,43036.72,4688.62,198310497.15
2022-04-04 00:00:00,1649030400,42040.79,42467.64,41185.56,42729.01,4595.64,192371393.46
2022-04-03 00:00:00,1648944000,41489.24,42040.79,41282.11,42941.2,2957.1,124612961.29
2022-04-02 00:00:00,1648857600,41919.17,41489.24,41349.99,42705.09,2869.45,120663707.98
2022-04-01 00:00:00,1648771200,41118.32,41919.17,39989.91,42334.68,6144.94,252990379.25
2022-03-31 00:00:00,1648684800,42166.4,41118.32,40848.89,42893.29,5344.01,224401400.2
2022-03-30 00:00:00,1648598400,42782.17,42166.4,42004.31,42858.32,5605.91,237803596.12
2022-03-29 00:00:00,1648512000,42864.2,42782.17,42393.6,43433.99,6061.15,260901031.77
2022-03-28 00:00:00,1648425600,42648.52,42864.2,42500.75,43887.98,6331.43,273261980.09
2022-03-27 00:00:00,1648339200,40575.2,42648.52,40507.98,42696.73,3701.63,153580711.78
2022-03-26 00:00:00,1648252800,40365.85,40575.2,40184.68,40792.41,1909.44,77245450.79
2022-03-25 00:00:00,1648166400,39975.16,40365.85,39604.15,40941.75,5674.52,228813107.93
2022-03-24 00:00:00,1648080000,38982.51,39975.16,38855.09,40212.13,7413.75,292342885.7
2022-03-23 00:00:00,1647993600,38427.11,38982.51,37916.43,39048.89,6611.5,253896288.23
2022-03-22 00:00:00,1647907200,37256.27,38427.11,37163.45,39342.7,7062.3,272855414.51
2022-03-21 00:00:00,1647820800,37373.07,37256.27,36701.43,37633.48,4423,164638181.99
2022-03-20 00:00:00,1647734400,38195.4,37373.07,37022.03,38254.24,3256.1,122225111.94
2022-03-19 00:00:00,1647648000,37804.3,38195.4,37614.39,38347.31,3008.12,113991251.72
2022-03-18 00:00:00,1647561600,36903.1,37804.3,36317.04,38276.62,5753.51,213291496.22
2022-03-17 00:00:00,1647475200,37315.03,36903.1,36494.05,37545.65,4877.74,180345086.17
2022-03-16 00:00:00,1647388800,35853.82,37315.03,35534.05,37918.58,12104.44,444136683
2022-03-15 00:00:00,1647302400,36278.07,35853.82,34825.59,36388.86,7049.83,250672717.44
2022-03-14 00:00:00,1647216000,34637.84,36278.07,34460.13,36443.63,6722.73,238708645.12
2022-03-13 00:00:00,1647129600,35607.15,34637.84,34493.1,36050.03,3562.86,126370851.19
2022-03-12 00:00:00,1647043200,35522.02,35607.15,35476.99,36120.96,2918.28,104650538.74
2022-03-11 00:00:00,1646956800,35831.85,35522.02,34806.93,36471.44,8231.09,293198147.87
2022-03-10 00:00:00,1646870400,37893.57,35831.85,35020.99,38018.52,11100.77,397432422.97
2022-03-09 00:00:00,1646784000,35568.75,37893.57,35493.02,38709.22,9446.21,358428633.62
2022-03-08 00:00:00,1646697600,35007.96,35568.75,34918.49,35981.53,7773.89,276322958.52
2022-03-07 00:00:00,1646611200,35330.55,35007.96,34311.43,36357.96,9382.16,330956759.81
2022-03-06 00:00:00,1646524800,36066.88,35330.55,34932.89,36299.96,4223.16,150220841.98
2022-03-05 00:00:00,1646438400,35822.16,36066.88,35356.93,36248.26,2807.96,100656149.38
2022-03-04 00:00:00,1646352000,38371.77,35822.16,35340.91,38423.9,8426.9,313950712.2
2022-03-03 00:00:00,1646265600,39520.7,38371.77,37808.79,39790.11,6556.06,254339537
2022-03-02 00:00:00,1646179200,39932.24,39520.7,39062.01,40791.47,8677.91,345410742.37
2022-03-01 00:00:00,1646092800,38508.54,39932.24,38309.45,40249.76,11145.19,437368782.53
2022-02-28 00:00:00,1646006400,33739.06,38508.54,33511.67,39130.05,10814.88,387589600.44
2022-02-27 00:00:00,1645920000,34727.27,33739.06,33189.37,35361.82,7251.72,247921183.41
2022-02-26 00:00:00,1645833600,34806.7,34727.27,34306.21,35705.22,3756.75,131142995.37
2022-02-25 00:00:00,1645747200,34248.37,34806.7,34043.66,35375.09,7513.92,260628393.04
