timestr,time,open,close,low,high,volumefrom,volumeto
2022-06-09 16:00:00,1654790400,28426.63,28366.74,28332.04,28449.77,84.97,2410307.75
2022-06-09 15:00:00,1654786800,28266.5,28426.63,28195.75,28480.29,280.26,7938147.82
2022-06-09 14:00:00,1654783200,28208.58,28266.5,28207.59,28385.52,427.39,12093387.23
2022-06-09 13:00:00,1654779600,28036.76,28208.58,28012.75,28268.8,600.76,16905815.71
2022-06-09 12:00:00,1654776000,28226.09,28036.76,27913.93,28269.39,808.93,22678874.24
2022-06-09 11:00:00,1654772400,28384.45,28226.09,28186.83,28410.62,779.13,22067080.68
2022-06-09 10:00:00,1654768800,28502.07,28384.45,28357.53,28521.86,270.56,7697198.86
2022-06-09 09:00:00,1654765200,28470.12,28502.07,28447.73,28615.24,286.44,8166619.77
2022-06-09 08:00:00,1654761600,28472.31,28470.12,28365.05,28541.73,379.91,10811989.8
2022-06-09 07:00:00,1654758000,28305.15,28472.31,28296.33,28472.34,211.45,5998794.54
2022-06-09 06:00:00,1654754400,28271.58,28305.15,28269.28,28321.86,131.52,3720509.73
2022-06-09 05:00:00,1654750800,28208.59,28271.58,28194.33,28362.38,106.87,3022913.45
2022-06-09 04:00:00,1654747200,28226.6,28208.59,28170.46,28233.13,52.25,1473449.67
2022-06-09 03:00:00,1654743600,28157.07,28226.6,28150.11,28229.61,66.32,1869936.54
2022-06-09 02:00:00,1654740000,28099.63,28157.07,28072.66,28181.38,97.24,2736047.54
2022-06-09 01:00:00,1654736400,28202.56,28099.63,28097.32,28290.22,58.5,1651181.52
2022-06-09 00:00:00,1654732800,28178.05,28202.56,28066.78,28243.61,103.32,2909038.28
2022-06-08 23:00:00,1654729200,28278.35,28178.05,28163.87,28323.87,59.94,1692203.44
2022-06-08 22:00:00,1654725600,28370.47,28278.35,28251.78,28378.17,70.18,1987028.74
2022-06-08 21:00:00,1654722000,28180.75,28370.47,28176.95,28427.57,207.03,5859422.91
2022-06-08 20:00:00,1654718400,28132.33,28180.75,28095.33,28276.79,100.7,2838299.55
2022-06-08 19:00:00,1654714800,28213.64,28132.33,28073.81,28260.96,202.49,5702851.87
2022-06-08 18:00:00,1654711200,28339.84,28213.64,27929.3,28370.44,330.56,9299468.21
2022-06-08 17:00:00,1654707600,28264.72,28339.84,28231.1,28389.8,137.49,3893600.61
2022-06-08 16:00:00,1654704000,28369.31,28264.72,28156.61,28436.16,241.82,6839754.83
2022-06-08 15:00:00,1654700400,28329.29,28369.31,28308.95,28451.94,256.57,7282998.48
2022-06-08 14:00:00,1654696800,28628.98,28329.29,28277.91,28645.18,358.3,10189481.79
2022-06-08 13:00:00,1654693200,28109.83,28628.98,28017.6,28705.61,614.03,17441771.9
2022-06-08 12:00:00,1654689600,28332.12,28109.83,28101.09,28352.51,394.48,11123788.69
2022-06-08 11:00:00,1654686000,28333.99,28332.12,28306.96,28412.18,192.67,5463298.31
2022-06-08 10:00:00,1654682400,28497.97,28333.99,28297.49,28515.08,287.52,8163320.45
2022-06-08 09:00:00,1654678800,28547.11,28497.97,28421.36,28567.65,300.76,8569172.72
2022-06-08 08:00:00,1654675200,28580.49,28547.11,28465.75,28628.21,272.51,7782196.29
2022-06-08 07:00:00,1654671600,28546.24,28580.49,28359.23,28646.68,360.5,10271748.01
2022-06-08 06:00:00,1654668000,28580.36,28546.24,28387.32,28678.35,274.26,7818787.89
2022-06-08 05:00:00,1654664400,28301.12,28580.36,28281.97,28653.34,242.23,6890076
2022-06-08 04:00:00,1654660800,28073.59,28301.12,27962.79,28422.58,295.28,8334276.45
2022-06-08 03:00:00,1654657200,28947.19,28073.59,27939.52,28998.06,525.25,14893890.89
2022-06-08 02:00:00,1654653600,29089.48,28947.19,28944.48,29185.6,111.31,3234827.12
2022-06-08 01:00:00,1654650000,29041.01,29089.48,28755.72,29165.91,293.48,8506430.39
